expiration,ticker,price
2025-11-30,GCX25.CMX,3979.699951171875
2025-12-30,GCZ25.CMX,3997.10009765625
2026-01-30,GCF26.CMX,4015.89990234375
2026-04-30,GCJ26.CMX,4061.39990234375
2026-05-30,GCK26.CMX,4049.10009765625
2026-06-30,GCM26.CMX,4090.0
2026-08-30,GCQ26.CMX,4116.10009765625
2026-11-30,GCX26.CMX,4181.0
2026-12-30,GCZ26.CMX,4177.5
2027-01-30,GCF27.CMX,4175.0
2027-04-30,GCJ27.CMX,4250.2001953125
2027-06-30,GCM27.CMX,4277.2998046875
2027-08-30,GCQ27.CMX,4303.7998046875
2027-12-30,GCZ27.CMX,4356.39990234375
